video_id,user,text
7583943023407435015,mun.xinh.depa,hummm
7583943023407435015,mun.xinh.depa,quốc kang mua bùa đâu mà mạnh v
7583943023407435015,mun.xinh.depa,lại dính bùa
7583943023407435015,mun.xinh.depa,Bùa mạnh vậy
7583943023407435015,mun.xinh.depa,quen hở
7583943023407435015,mun.xinh.depa,Bùa có hạn ạ😞
7583943023407435015,mun.xinh.depa,qk lại bỏ bùa mun gòi kìa
7583943023407435015,mun.xinh.depa,=))))
7583943023407435015,mun.xinh.depa,Chú ba duy chịu bùa này rồi à
7583943023407435015,mun.xinh.depa,4ph-))
7583943023407435015,mun.xinh.depa,Họ hàng xa =))
7583943023407435015,mun.xinh.depa,uầy 🗿
7583943023407435015,mun.xinh.depa,Nữa hả🙂 [sticker]
7583943023407435015,mun.xinh.depa,chị quay lại với quốc kang rồi hả
7583943023407435015,mun.xinh.depa,bùa đâu mạng dữ vậy
7583943023407435015,mun.xinh.depa,😫
7583943023407435015,mun.xinh.depa,Luỵ hoài má
7583943023407435015,mun.xinh.depa,bùa này mạnh quá r đó
7583943023407435015,mun.xinh.depa,Hhhh
7583943023407435015,mun.xinh.depa,bùa lúc mạnh lúc yếu rồi
7583943023407435015,mun.xinh.depa,buồn luôn
7583943023407435015,mun.xinh.depa,ghép đôi nhưng ko đc
7583943023407435015,mun.xinh.depa,lại bị bỏ bùa
7583943023407435015,mun.xinh.depa,đoán vội lọc bl🥰
7583943023407435015,mun.xinh.depa,Quốc Kang mua bùa chú ba duy hả
7583943023407435015,mun.xinh.depa,chú ba duy ơi vào cứu kìa
7583943023407435015,mun.xinh.depa,ồ no
7583943023407435015,mun.xinh.depa,quoccccc kangggg🥰 [sticker]
7583943023407435015,mun.xinh.depa,haha
7583943023407435015,mun.xinh.depa,chắc muộn
7583943023407435015,mun.xinh.depa,lô chị
7583943023407435015,mun.xinh.depa,ê nhaa🙂
7583943023407435015,mun.xinh.depa,mun bị bỏ bùa nặng òi
7583943023407435015,mun.xinh.depa,Dạ lan ơi
7583943023407435015,mun.xinh.depa,Lại bị dính bùa rồi😅
7583943023407435015,mun.xinh.depa,mình quen hở?
7583943023407435015,mun.xinh.depa,Lạy bà luôn á :))
7583943023407435015,mun.xinh.depa,Rep in
7583943023407435015,mun.xinh.depa,ê kang đỡ r
7583943023407435015,mun.xinh.depa,khổ bị dính bùa hoài
7583943023407435015,mun.xinh.depa,ngại dùm
7583943023407435015,mun.xinh.depa,có đý đâu😂
7583943023407435015,mun.xinh.depa,ê nhoa
7583943023407435015,mun.xinh.depa,chịuu em rồi
7583943023407435015,mun.xinh.depa,ê
7583943023407435015,mun.xinh.depa,sớm
7583943023407435015,mun.xinh.depa,Sớm ạ
7583943023407435015,mun.xinh.depa,Quen à
7583943023407435015,mun.xinh.depa,cho xin ngày sinh để giải bùa
7583943023407435015,mun.xinh.depa,quốc kang🤯🤯 [sticker]
7583943023407435015,mun.xinh.depa,23ph -))
7583943023407435015,mun.xinh.depa,xin link bùa bỏ crush đi
7583943023407435015,mun.xinh.depa,Dạ Lâm đâu r?💁🏼
7583943023407435015,mun.xinh.depa,quốc kang đúng nhiều bùa quá
7583943023407435015,mun.xinh.depa,ủa chuyện j v bây mới nạp 4G lại ?
7583943023407435015,mun.xinh.depa,Bùa này mạnh này
7583943023407435015,mun.xinh.depa,v cũn nói
7583943023407435015,mun.xinh.depa,cj mun càng ngày càng xinh
7583943023407435015,mun.xinh.depa,17p
7583943023407435015,mun.xinh.depa,ước chị rep
7583943023407435015,mun.xinh.depa,lụy à Mun ơii😭
7583943023407435015,mun.xinh.depa,bùa mới hồi chiêu à [sticker]
7583943023407435015,mun.xinh.depa,đc mấy ngày
7583943023407435015,mun.xinh.depa,xui dữ
7583943023407435015,mun.xinh.depa,Uê
7583943023407435015,mun.xinh.depa,lại bùa 😔
7583943023407435015,mun.xinh.depa,r nx r
7583943023407435015,mun.xinh.depa,sao chữ kia lại chọn quốc cang 😭
7583943023407435015,mun.xinh.depa,"chắc quốc kang đag bỏ bùa mới quá : , - )"
7583943023407435015,mun.xinh.depa,2vk này:)) [sticker]
7583943023407435015,mun.xinh.depa,Ghen à
7583943023407435015,mun.xinh.depa,Ủa quay lại r hả bây
7583943023407435015,mun.xinh.depa,Quốc kang I'm gay
7583943023407435015,mun.xinh.depa,ồ
7583943023407435015,mun.xinh.depa,chịu chj mun r lại dính bùa
7583943023407435015,mun.xinh.depa,chịu 🗿🗿🗿
7583943023407435015,mun.xinh.depa,xin link bùa ạ😆
7583943023407435015,mun.xinh.depa,chú 3 duy bị phản vệ r hả 😞
7583943023407435015,mun.xinh.depa,?? Quen à
7583943023407435015,mun.xinh.depa,ohh
7583943023407435015,mun.xinh.depa,[ảnh]
7583943023407435015,mun.xinh.depa,😂
7583943023407435015,mun.xinh.depa,😂😂😂
7583943023407435015,mun.xinh.depa,🥰
7583943023407435015,mun.xinh.depa,😁
7583943023407435015,mun.xinh.depa,🤣
7583943023407435015,mun.xinh.depa,😭😭😭
7583943023407435015,mun.xinh.depa,😭
7583943023407435015,mun.xinh.depa,💐
7583943023407435015,mun.xinh.depa,@Quốc Kang ☄️
7583943023407435015,mun.xinh.depa,🔥
7583943023407435015,mun.xinh.depa,😆😆😆
7583943023407435015,mun.xinh.depa,👀
7583943023407435015,mun.xinh.depa,😔😔🥀😭💔
7583943023407435015,mun.xinh.depa,😔
7583943023407435015,mun.xinh.depa,🥰🥰🥰
7583943023407435015,mun.xinh.depa,💔
7583943023407435015,mun.xinh.depa,😞
7583943023407435015,mun.xinh.depa,@౨ৎ Ozie_Oanh ୨୧˚
7583943023407435015,mun.xinh.depa,🤣🤣🤣
7584817216525307154,hion.storee,outfit tết đẹp lắm á
7584817216525307154,hion.storee,bộ này lên giỏ chưa shop ơi
7584817216525307154,hion.storee,có màu đỏ không ạ
7584817216525307154,hion.storee,64 ký vừa không ạ
7584817216525307154,hion.storee,mua sao ạ
7584817216525307154,hion.storee,Bầu mặc được kh ạ
7584817216525307154,hion.storee,mua ntn.
7584817216525307154,hion.storee,Xin giá bộ này
7584817216525307154,hion.storee,Xin giá
7584817216525307154,hion.storee,sao mua đc shop
7584817216525307154,hion.storee,xin gia bộ
7584817216525307154,hion.storee,43kg 1m47 mặc đẹp k 😳
7584817216525307154,hion.storee,mua ở đâu ạ
7584817216525307154,hion.storee,Ib e với
7584817216525307154,hion.storee,Xin giáa
7584817216525307154,hion.storee,sin giá
7584817216525307154,hion.storee,Có bán ở nhật ko ạ
7584817216525307154,hion.storee,Bn ạ
7584817216525307154,hion.storee,E xin giá ạ
7584817216525307154,hion.storee,52kg size gì ạ
7584817216525307154,hion.storee,xin giá ạ
7584817216525307154,hion.storee,Muốn mua sao shop
7584817216525307154,hion.storee,xin giá ạ.60 kí vừa k ạ
7584817216525307154,hion.storee,xin giá
7584817216525307154,hion.storee,xin giá với shops ơi
7584817216525307154,hion.storee,Muốn mua ạ
7584817216525307154,hion.storee,70kg vừa k shop
7584817216525307154,hion.storee,shop ơi set này giá bn ạ
7584817216525307154,hion.storee,Ib zé ạ
7584817216525307154,hion.storee,Mua kiu j an
7584817216525307154,hion.storee,giá ạ
7584817216525307154,hion.storee,55kg 1m60 có size ko shop
7584817216525307154,hion.storee,Bộ kiểu này có nơ đỏ 38 39kg có ko shop
7584817216525307154,hion.storee,78kg vừa ko shop
7584817216525307154,hion.storee,Xin gia
7584817216525307154,hion.storee,Mua sao c ơi
7584817216525307154,hion.storee,xin giá shop
7584817216525307154,hion.storee,Mua sao ạ
7584817216525307154,hion.storee,gắn giỏ đi ạ
7584817216525307154,hion.storee,Có size s không ạ
7584817216525307154,hion.storee,có set này cho bé 33kg k c?
7584817216525307154,hion.storee,Xin giá ạ
7584817216525307154,hion.storee,Giá ạ
7584817216525307154,hion.storee,53kg mặc size j ạ
7584817216525307154,hion.storee,em xin giá ạ
7584817216525307154,hion.storee,mua sao dị shoo
7584817216525307154,hion.storee,Mua hàng thì vào đâu ạ
7584817216525307154,hion.storee,mua sao shop
7584817216525307154,hion.storee,Đẹp
7584817216525307154,hion.storee,Bộ này bao nhiêu ạ
7584817216525307154,hion.storee,ib
7584817216525307154,hion.storee,Muốn mua 1bộ size s
7584817216525307154,hion.storee,bn vậy shop oi
7584817216525307154,hion.storee,Mua thế nào ạ
7584817216525307154,hion.storee,M50 53kg có mặc được không ạ
7584817216525307154,hion.storee,Mua như nào ạ
7584817216525307154,hion.storee,giá như thế nào vậy bạn
7584817216525307154,hion.storee,giá thế nào ạ
7584817216525307154,hion.storee,Béo mặc được không an
7584817216525307154,hion.storee,In ạ
7584817216525307154,hion.storee,Ib
7584817216525307154,hion.storee,56k m47 vừa k ạ
7584817216525307154,hion.storee,E xin giá ah
7584817216525307154,hion.storee,e xin giá
7584817216525307154,hion.storee,Uầy xin giá ạ
7584817216525307154,hion.storee,Mua ở đâu ạ
7584817216525307154,hion.storee,Ko co màu đỏ ko shop
7584817216525307154,hion.storee,Giá sao ạ
7584817216525307154,hion.storee,1m50 53kg mặc size nào cj
7584817216525307154,hion.storee,Mình xin giá ạ
7584817216525307154,hion.storee,Bn v
7584817216525307154,hion.storee,E xin giá
7584817216525307154,hion.storee,ib bác ơi
7584817216525307154,hion.storee,có sét mẹ con không ạ
7584817216525307154,hion.storee,xin gia
7584817216525307154,hion.storee,mùa ở đâu ạ
